number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_target_entropy_multiplier,params_train_freq,state
79,1.5820792452968886,2025-11-22 10:35:22.604977,2025-11-22 11:29:07.484138,0 days 00:53:44.879161,0.04408460453110484,3.429662075428973e-05,1,11,COMPLETE
80,1.8040341931110593,2025-11-22 10:35:23.736550,2025-11-22 11:29:02.558843,0 days 00:53:38.822293,0.1794750844551142,3.683904643337078e-05,1,6,COMPLETE
81,1.675009986513203,2025-11-22 10:35:40.370890,2025-11-22 11:28:59.126867,0 days 00:53:18.755977,0.1931164813476906,3.9294098137203496e-05,1,6,COMPLETE
82,1.6183736769249786,2025-11-22 10:35:42.451430,2025-11-22 11:28:52.250379,0 days 00:53:09.798949,0.019133352169031316,3.086847409432506e-05,1,6,COMPLETE
83,1.4418849629943207,2025-11-22 10:35:49.739014,2025-11-22 11:31:00.789090,0 days 00:55:11.050076,0.2253620434905804,3.47061022637612e-05,1,11,COMPLETE
84,1.8308713578233664,2025-11-22 10:35:54.841729,2025-11-22 11:31:14.895997,0 days 00:55:20.054268,0.21916141089354604,3.4066074461687625e-05,1,6,COMPLETE
85,1.6748589750097063,2025-11-22 10:36:06.761919,2025-11-22 11:31:13.383831,0 days 00:55:06.621912,0.043403570863857883,3.118347711481939e-05,1,6,COMPLETE
86,1.9504691021674583,2025-11-22 10:36:11.772392,2025-11-22 11:31:08.380542,0 days 00:54:56.608150,0.23984854400409542,3.538140662412596e-05,1,6,COMPLETE
87,1.6922426711559586,2025-11-22 10:36:25.199580,2025-11-22 11:33:35.834888,0 days 00:57:10.635308,0.1488726262340875,4.6775117716270995e-05,1,11,COMPLETE
88,1.940143319089743,2025-11-22 10:38:25.349342,2025-11-22 11:33:11.407467,0 days 00:54:46.058125,0.04051371419612798,3.269158815885285e-05,1,11,COMPLETE
89,1.721191538035528,2025-11-22 10:38:58.190786,2025-11-22 11:33:07.763144,0 days 00:54:09.572358,0.019094474228134317,3.5949939083173776e-05,1,11,COMPLETE
90,1.7710013097807473,2025-11-22 10:39:03.212933,2025-11-22 11:33:13.036497,0 days 00:54:09.823564,0.019281418666524452,3.9264354645314637e-05,1,11,COMPLETE
91,1.45926672825997,2025-11-22 10:39:03.929710,2025-11-22 11:32:49.494203,0 days 00:53:45.564493,0.01900776152259361,4.314025399111822e-05,1,6,COMPLETE
92,1.7046683157382805,2025-11-22 10:39:04.011630,2025-11-22 11:33:34.217427,0 days 00:54:30.205797,0.21141862519480745,3.253486430830034e-05,1,11,COMPLETE
93,1.527966976066584,2025-11-22 10:39:06.016006,2025-11-22 11:33:26.865306,0 days 00:54:20.849300,0.18296428523537298,3.292193181115258e-05,1,11,COMPLETE
94,1.7453370747720056,2025-11-22 10:39:08.634312,2025-11-22 11:33:29.113424,0 days 00:54:20.479112,0.23855489219252257,3.3530691543430775e-05,1,11,COMPLETE
95,1.5911881718516465,2025-11-22 10:39:16.599880,2025-11-22 11:32:58.179392,0 days 00:53:41.579512,0.0496225586715577,3.839813597337093e-05,1,6,COMPLETE
96,1.7487326133044085,2025-11-22 10:39:21.061306,2025-11-22 11:33:18.397125,0 days 00:53:57.335819,0.03644928262535409,3.846148643523358e-05,1,11,COMPLETE
97,1.6018002180747548,2025-11-22 10:39:24.047927,2025-11-22 11:33:15.188532,0 days 00:53:51.140605,0.17100847801398028,4.31501059087254e-05,1,11,COMPLETE
98,1.8483734011101063,2025-11-22 10:39:27.576205,2025-11-22 11:33:21.271022,0 days 00:53:53.694817,0.1972254610696595,2.937119071510874e-05,1,11,COMPLETE
99,1.6609456740520412,2025-11-22 10:39:45.383913,2025-11-22 11:33:35.083744,0 days 00:53:49.699831,0.17330930288715377,4.902389438307602e-05,1,6,COMPLETE
