#{"t_start": 1765983727.382072, "env_id": "None"}
r,l,t,r,r_stochastic,r_stochastic_1seed,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
0.0051537943768456395,1,1.996104,0.0051537943768456395,nan,nan,[2221.28311547 1884.82732701 2354.69420543],nan,[6460.47168848],[95.48876938 75.78098472 72.92080577],[95.48876938 75.78098472 72.92080577],[95.90197738 75.90197738 73.40197738],[ 0.41320801 20.12099266 22.98117161],[ 0.41320801 20.12099266 22.98117161],[ 0.  20.  22.5],95.90197738286872,10.0,0.046603155230118626
-0.07800546115501052,1,1.996382,-0.07800546115501052,nan,nan,[1983.29401579 1202.70249428 2174.78943184],nan,[5364.97091221],[91.58759168 61.89713052 64.09443429],[91.58759168 61.89713052 64.09443429],[92.18561223 63.43561223 64.68561223],[ 0.59802055 30.28848171 28.09117794],[ 0.59802055 30.28848171 28.09117794],[ 0.   28.75 27.5 ],92.18561222917398,10.0,0.03578822710432163
0.0011416057850257544,1,1.996664,0.0011416057850257544,nan,nan,[2161.35963768 1672.2673593  2291.05498586],nan,[6124.61206391],[94.3617851  70.84679429 69.81790607],[94.3617851  70.84679429 69.81790607],[94.72827737 70.97827737 69.72827737],[ 0.36649227 23.88148308 24.9103713 ],[ 0.36649227 23.88148308 24.9103713 ],[ 0.   23.75 25.  ],94.72827737090235,10.0,0.05889651679631975
-0.001995453747252819,1,1.996951,-0.001995453747252819,nan,nan,[1619.69042463 1063.10203571 2161.00282112],nan,[4843.89193908],[90.16153132 62.60877883 61.99841773],[90.16153132 62.60877883 61.99841773],[90.44286048 62.94286048 61.69286048],[ 0.28132915 27.83408165 28.44444275],[ 0.28132915 27.83408165 28.44444275],[ 0.   27.5  28.75],90.44286047977097,10.0,0.06925329468589936
-0.028258899178086497,1,1.997228,-0.028258899178086497,nan,nan,[2179.62374406 1734.41489081 2259.86751508],nan,[6175.65132102],[94.35392937 71.92614635 69.09855923],[94.35392937 71.92614635 69.09855923],[94.90120014 72.40120014 69.90120014],[ 0.54727077 22.97505379 25.80264091],[ 0.54727077 22.97505379 25.80264091],[ 0.  22.5 25. ],94.90120014216922,10.0,0.037865344103323505
-0.013766219382979521,1,2.24316,-0.013766219382979521,nan,nan,[2139.53046338 1542.39697157 2277.41668694],nan,[5960.16461123],[93.62282826 68.43969418 68.83815838],[93.62282826 68.43969418 68.83815838],[94.14263798 69.14263798 69.14263798],[ 0.51980972 25.7029438  25.3044796 ],[ 0.51980972 25.7029438  25.3044796 ],[ 0. 25. 25.],94.14263798008909,10.0,0.04482627014130462
-0.010612227814011579,1,2.243654,-0.010612227814011579,nan,nan,[1827.21358712 1224.90212513 2158.13933103],nan,[5210.8080261],[91.36083177 63.75381044 63.16115669],[91.36083177 63.75381044 63.16115669],[91.67841485 64.17841485 62.92841485],[ 0.31758308 27.92460442 28.51725817],[ 0.31758308 27.92460442 28.51725817],[ 0.   27.5  28.75],91.67841485449688,10.0,0.06600690267079498
-0.012311576875931471,1,2.243959,-0.012311576875931471,nan,nan,[1822.72806708 1255.17507583 2207.90835774],nan,[5286.46234753],[91.5836113  65.4452961  64.69283991],[91.5836113  65.4452961  64.69283991],[91.91635304 65.66635304 64.41635304],[ 0.33274174 26.47105694 27.22351313],[ 0.33274174 26.47105694 27.22351313],[ 0.   26.25 27.5 ],91.91635303786337,10.0,0.06685628999433149
-0.010029604951983346,1,2.244288,-0.010029604951983346,nan,nan,[2110.41443563 1538.77520201 2293.3181497 ],nan,[5943.10385718],[93.7005928  68.77233295 69.24967556],[93.7005928  68.77233295 69.24967556],[94.09403591 69.09403591 69.09403591],[ 0.39344311 25.32170296 24.84436035],[ 0.39344311 25.32170296 24.84436035],[ 0. 25. 25.],94.09403590705165,10.0,0.05769778776535405
-0.007901952339219994,1,2.244585,-0.007901952339219994,nan,nan,[2119.23452489 1769.55038095 2345.59509795],nan,[6234.87268046],[94.93981104 74.31528549 71.85614805],[94.93981104 74.31528549 71.85614805],[95.12305956 73.87305956 71.37305956],[ 0.18324852 20.80777407 23.26691151],[ 0.18324852 20.80777407 23.26691151],[ 0.   21.25 23.75],95.12305955573571,10.0,0.0748766533500718
