number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_target_entropy_multiplier,params_train_freq,state
65,1.2883993278534103,2025-11-22 11:30:12.015271,2025-11-22 12:46:24.397248,0 days 01:16:12.381977,0.06434487070464481,4.073470341309745e-06,1,21,COMPLETE
66,-0.622831484919969,2025-11-22 11:30:14.426813,2025-11-22 12:45:10.062185,0 days 01:14:55.635372,0.07667674407896474,4.565140218992933e-06,1,21,COMPLETE
67,-0.04735275586394384,2025-11-22 11:30:16.984975,2025-11-22 12:45:35.021844,0 days 01:15:18.036869,0.060994140530247314,4.059035969967757e-06,1,21,COMPLETE
68,0.2996964946094318,2025-11-22 11:30:21.608433,2025-11-22 12:46:07.715992,0 days 01:15:46.107559,0.0723569765675183,3.7630815458686656e-06,1,21,COMPLETE
69,0.9851523197743915,2025-11-22 11:30:24.461168,2025-11-22 12:45:51.164665,0 days 01:15:26.703497,0.06566811319038991,3.7558138673712377e-06,1,21,COMPLETE
70,-0.24297170381872138,2025-11-22 11:30:29.915960,2025-11-22 12:46:07.273830,0 days 01:15:37.357870,0.06479770362436402,3.892162338307112e-06,1,21,COMPLETE
71,-0.2965330373602162,2025-11-22 11:30:36.956021,2025-11-22 12:45:15.283468,0 days 01:14:38.327447,0.07997752028733596,4.3302076723623975e-06,1,21,COMPLETE
72,0.3225362796522702,2025-11-22 11:30:40.041424,2025-11-22 12:45:19.221851,0 days 01:14:39.180427,0.07575173245224562,4.050459917169234e-06,1,21,COMPLETE
73,1.2074973082096856,2025-11-22 11:30:50.298226,2025-11-22 12:45:41.905107,0 days 01:14:51.606881,0.08058272416111197,3.957318051572835e-06,1,21,COMPLETE
74,-0.3457760758758532,2025-11-22 11:30:54.214428,2025-11-22 12:46:47.682868,0 days 01:15:53.468440,0.07677429529474536,4.087679066844365e-06,1,21,COMPLETE
75,-0.13509676513286548,2025-11-22 12:44:08.994646,2025-11-22 13:42:27.450585,0 days 00:58:18.455939,0.34371656521388094,2.582467270150413e-06,1,11,COMPLETE
76,-0.4528934262528548,2025-11-22 12:45:10.064063,2025-11-22 13:44:34.003464,0 days 00:59:23.939401,0.20845639829136578,2.32753254635698e-06,1,11,COMPLETE
77,-0.15443752768895405,2025-11-22 12:45:15.285306,2025-11-22 13:44:51.714431,0 days 00:59:36.429125,0.22702746837614227,2.610143894551041e-06,1,11,COMPLETE
78,0.16488712278764714,2025-11-22 12:45:19.223308,2025-11-22 13:44:08.286879,0 days 00:58:49.063571,0.041941110885659494,2.4887956813328815e-06,1,11,COMPLETE
79,-0.014683400123382189,2025-11-22 12:45:25.049054,2025-11-22 13:44:48.753910,0 days 00:59:23.704856,0.25428588031943106,2.7139676552579112e-06,1,11,COMPLETE
80,0.3861275494520421,2025-11-22 12:45:30.846705,2025-11-22 13:44:50.649887,0 days 00:59:19.803182,0.23190050636668483,1.4360878248581339e-05,1,11,COMPLETE
81,0.36422960247866665,2025-11-22 12:45:33.685482,2025-11-22 13:44:24.223519,0 days 00:58:50.538037,0.22820071989979016,2.6617256763139352e-06,1,11,COMPLETE
82,0.10595430040699452,2025-11-22 12:45:35.023433,2025-11-22 13:44:20.907876,0 days 00:58:45.884443,0.2122966735579957,2.6034862402770943e-06,1,11,COMPLETE
83,-0.06106403489696012,2025-11-22 12:45:36.547282,2025-11-22 13:44:32.671972,0 days 00:58:56.124690,0.2563091735624543,2.3716993996139766e-06,1,11,COMPLETE
84,0.5274577782891519,2025-11-22 12:45:37.579425,2025-11-22 13:44:34.328664,0 days 00:58:56.749239,0.23748864389544613,2.213563641947617e-06,1,11,COMPLETE
85,0.19794267610390956,2025-11-22 12:45:37.979104,2025-11-22 13:44:37.466414,0 days 00:58:59.487310,0.20971057499057852,2.1308736924395238e-06,1,11,COMPLETE
86,-0.4183794812401993,2025-11-22 12:45:39.237259,2025-11-22 13:44:47.260820,0 days 00:59:08.023561,0.040517020488973314,2.520797016157321e-06,1,11,COMPLETE
87,-0.22664521404270974,2025-11-22 12:45:41.906293,2025-11-22 13:45:15.352122,0 days 00:59:33.445829,0.23791528766165485,2.1025529822140693e-06,1,11,COMPLETE
88,0.2505718193723721,2025-11-22 12:45:51.167271,2025-11-22 13:44:00.091601,0 days 00:58:08.924330,0.2886993449349893,1.9869542955114517e-06,1,11,COMPLETE
89,0.6106505283757858,2025-11-22 12:45:53.768522,2025-11-22 13:44:50.003630,0 days 00:58:56.235108,0.2473475736438175,2.581820204520026e-06,1,11,COMPLETE
90,-0.022615840336831467,2025-11-22 12:45:55.973570,2025-11-22 13:45:09.921918,0 days 00:59:13.948348,0.27325801079632006,2.5383219370210816e-06,1,11,COMPLETE
91,-0.45388600649377475,2025-11-22 12:46:00.261564,2025-11-22 13:44:52.066271,0 days 00:58:51.804707,0.2117492725780969,2.1635890284569242e-06,1,11,COMPLETE
92,-0.5474552414162736,2025-11-22 12:46:00.724886,2025-11-22 13:45:00.035423,0 days 00:58:59.310537,0.2104254067631191,2.2108502312627554e-06,1,11,COMPLETE
93,-0.3705085209205347,2025-11-22 12:46:01.201254,2025-11-22 13:45:25.764060,0 days 00:59:24.562806,0.25657217202714155,2.1761799794526518e-06,1,11,COMPLETE
94,-0.11978416806802632,2025-11-22 12:46:07.275820,2025-11-22 13:44:52.973276,0 days 00:58:45.697456,0.22786750374682144,2.351282417950498e-06,1,11,COMPLETE
95,0.775315126972896,2025-11-22 12:46:07.717027,2025-11-22 13:44:25.304907,0 days 00:58:17.587880,0.23889219657055866,1.4023928851190518e-05,1,11,COMPLETE
96,0.1884407295529144,2025-11-22 12:46:13.986284,2025-11-22 13:45:09.592927,0 days 00:58:55.606643,0.21481275845508258,2.583274806811756e-06,1,11,COMPLETE
97,0.33047597801353434,2025-11-22 12:46:18.740806,2025-11-22 13:44:22.022738,0 days 00:58:03.281932,0.2647716855306675,2.274086784841823e-06,1,11,COMPLETE
98,-0.16355913015154966,2025-11-22 12:46:24.399008,2025-11-22 13:44:18.073610,0 days 00:57:53.674602,0.2552780442911956,2.3202477369674147e-06,1,11,COMPLETE
99,-0.19476967601338738,2025-11-22 12:46:47.684537,2025-11-22 13:45:06.162845,0 days 00:58:18.478308,0.2232056521780408,2.7798254389099143e-06,1,11,COMPLETE
