#{"t_start": 1757885500.709653, "env_id": "None"}
r,l,t,r_cumulative,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
-31.888159,1,40846.207999,-2837.8264291496225,"[2548.8004310975953, 2246.659311680418, 0.0]",7040.566836348752,7040.566836348752,[91.6040469  80.98843314 77.74448002],[83.61231422 96.25099754 74.15605164],[96.   76.   74.75],[ 4.3959531  15.01156686 18.25551998],[12.38768578 -0.25099754 21.84394836],[ 0.   20.   21.25],96.0,10.0,0.075
-32.261906,1,40846.226223,-2894.585685301689,"[2616.5554000279653, 2152.5904602351507, 0.0]",7040.566836348752,7040.566836348752,[93.31221111 76.68562151 76.45271385],[85.32047844 91.94818592 72.86428547],[96.   76.   74.75],[ 2.68778889 19.31437849 19.54728615],[10.67952156  4.05181408 23.13571453],[ 0.   20.   21.25],96.0,10.0,0.075
-35.216705,1,40846.226556,-2884.9559929697316,"[2416.6680160694955, 2116.1543356340867, 0.0]",6996.900212088641,6996.900212088641,[92.99457558 74.69986655 73.51032341],[85.0028429  89.96243095 69.92189503],[96.  76.  73.5],[ 3.00542442 21.30013345 22.48967659],[10.9971571   6.03756905 26.07810497],[ 0.  20.  22.5],96.0,10.0,0.05
-44.140194,1,40846.226771,-2882.567586119173,"[2285.846197124795, 734.3663971628333, 0.0]",5406.772348175144,5406.772348175144,[89.930214   59.00260092 66.10789526],[81.93848133 74.26516533 62.51946688],[90.   62.5  61.25],[ 0.069786   30.99739908 23.89210474],[ 8.06151867 15.73483467 27.48053312],[ 0.   27.5  28.75],90.0,10.0,0.075
-36.397797,1,40846.226977,-2890.145237804105,"[2604.1874769611445, 1502.6390862111145, 0.0]",6457.050665070418,6457.050665070418,[90.92577274 70.33498551 71.83392418],[82.93404007 85.59754992 68.2454958 ],[94.   70.25 69.  ],[ 3.07422726 23.66501449 22.16607582],[11.06595993  8.40245008 25.7545042 ],[ 0.   23.75 25.  ],94.0,10.0,0.075
-31.450584,1,40846.227188,-2902.30915383058,"[2721.711586272129, 1676.5473208690303, 0.0]",6416.187308523867,6416.187308523867,[92.88565452 68.53198554 71.76681888],[84.89392185 83.79454994 68.1783905 ],[94. 69. 69.],[ 1.11434548 25.46801446 22.23318112],[ 9.10607815 10.20545006 25.8216095 ],[ 0. 25. 25.],94.0,10.0,0.05
-26.813936,1,40846.227388,-2951.982328158832,"[2856.353702193016, 2296.3600600398418, 0.0]",7040.566836348752,7040.566836348752,[90.5783654  79.97109152 76.1329993 ],[82.58663273 95.23365593 72.54457092],[96.   76.   74.75],[ 5.4216346  16.02890848 19.8670007 ],[13.41336727  0.76634407 23.45542908],[ 0.   20.   21.25],96.0,10.0,0.075
-31.635727,1,40846.22759,-2951.795033767426,"[2742.4381672900045, 1643.9416984734153, 0.0]",6416.187308523867,6416.187308523867,[93.46459682 67.98543479 72.16254604],[85.47286415 83.24799919 68.57411766],[94. 69. 69.],[ 0.53540318 26.01456521 21.83745396],[ 8.52713585 10.75200081 25.42588234],[ 0. 25. 25.],94.0,10.0,0.05
-31.267508,1,40846.227808,-2883.4874654572845,"[2536.480989873417, 1179.7283904986482, 0.0]",5406.772348175144,5406.772348175144,[88.80467327 63.70500208 66.06790054],[80.8129406  78.96756649 62.47947216],[90.   62.5  61.25],[ 1.19532673 26.29499792 23.93209946],[ 9.1870594  11.03243351 27.52052784],[ 0.   27.5  28.75],90.0,10.0,0.075
-37.1935,1,40846.228008,-2953.6211926642386,"[2378.3356902872074, 1651.4468416003538, 0.0]",6416.187308523867,6416.187308523867,[92.50721271 67.71616961 69.87822426],[84.51548004 82.97873402 66.28979588],[94. 69. 69.],[ 1.49278729 26.28383039 24.12177574],[ 9.48451996 11.02126598 27.71020412],[ 0. 25. 25.],94.0,10.0,0.05
