#{"t_start": 1757064886.3788307, "env_id": "None"}
r,l,t,r_cumulative,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
-18.42967,1,26426.822424,-576.2687636410018,"[2680.5517495143085, 0.0, 3026.842860637259]",6996.900212088641,6996.900212088641,[88.0223418  72.18833186 73.69760597],[80.03060913 87.45089626 70.10917759],[96.  76.  73.5],[ 7.9776582  23.81166814 22.30239403],[15.96939087  8.54910374 25.89082241],[ 0.  20.  22.5],96.0,10.0,0.05
-12.819842,1,26426.822639,-591.0875971634501,"[2819.637133038865, 0.0, 2809.6297997844385]",6457.050665070418,6457.050665070418,[91.95938881 67.70778204 73.37427509],[83.96765614 82.97034645 69.78584671],[94.   70.25 69.  ],[ 2.04061119 26.29221796 20.62572491],[10.03234386 11.02965355 24.21415329],[ 0.   23.75 25.  ],94.0,10.0,0.075
-10.832498,1,26865.741679,-703.323043884237,"[2357.480148202519, 0.0, 2443.6514723494047]",5384.396238102012,5384.396238102012,[86.68137462 57.08683611 63.14897525],[78.68964195 72.34940052 59.56054688],[90.   61.25 60.  ],[ 3.31862538 32.91316389 26.85102475],[11.31035805 17.65059948 30.43945312],[ 0.   28.75 30.  ],90.0,10.0,0.05
-12.973807,1,26865.742161,-646.8897491861004,"[2516.0879294574734, 0.0, 2630.6757529959714]",5914.039791785825,5914.039791785825,[87.4497567  64.8738177  70.26924312],[79.45802402 80.1363821  66.68081474],[92.   65.75 64.5 ],[ 4.5502433  27.1261823  21.73075688],[12.54197598 11.8636179  25.31918526],[ 0.   26.25 27.5 ],92.0,10.0,0.075
-16.63346,1,26865.74242,-699.1429732020184,"[2251.303770469864, 0.0, 2673.7913706263425]",5907.7599990897115,5907.7599990897115,[87.67597301 60.09541823 66.34879291],[79.68424034 75.35798264 62.76036453],[92.  64.5 64.5],[ 4.32402699 31.90458177 25.65120709],[12.31575966 16.64201736 29.23963547],[ 0.  27.5 27.5],92.0,10.0,0.05
-14.5562315,1,26865.742659,-699.4205354260965,"[2461.088247942506, 0.0, 2158.661776861574]",5406.772348175144,5406.772348175144,[85.53724201 59.37900187 69.99962795],[77.54550934 74.64156628 66.41119957],[90.   62.5  61.25],[ 4.46275799 30.62099813 20.00037205],[12.45449066 15.35843372 23.58880043],[ 0.   27.5  28.75],90.0,10.0,0.075
-11.850495,1,26865.742896,-670.0864972083359,"[2425.953288130447, 0.0, 2327.289603595399]",5392.2514120297865,5392.2514120297865,[89.31933792 52.06892373 64.30986631],[81.32760525 67.33148813 60.72143793],[90.  57.5 60. ],[ 0.68066208 37.93107627 25.69013369],[ 8.67239475 22.66851187 29.27856207],[ 0.  32.5 30. ],90.0,10.0,0.025
-18.865788,1,26865.743133,-628.210454709053,"[2428.116166431564, 0.0, 2777.6068623576175]",6416.187308523867,6416.187308523867,[91.33228596 65.10076548 69.65874565],[83.34055328 80.36332989 66.07031727],[94. 69. 69.],[ 2.66771404 28.89923452 24.34125435],[10.65944672 13.63667011 27.92968273],[ 0. 25. 25.],94.0,10.0,0.05
-16.098278,1,26865.743372,-685.139509593485,"[2501.839103302074, 0.0, 2454.8733107795206]",5907.7599990897115,5907.7599990897115,[91.5614043  60.05452944 68.24471891],[83.56967163 75.31709385 64.65629053],[92.  64.5 64.5],[ 0.4385957  31.94547056 23.75528109],[ 8.43032837 16.68290615 27.34370947],[ 0.  27.5 27.5],92.0,10.0,0.05
-13.097309,1,26865.743614,-614.7829170486755,"[2338.2870827474803, 0.0, 2340.898147567958]",5384.396238102012,5384.396238102012,[90.84995182 55.78334929 64.43560112],[82.85821915 71.0459137  60.84717274],[90.   61.25 60.  ],[-0.84995182 34.21665071 25.56439888],[ 7.14178085 18.9540863  29.15282726],[ 0.   28.75 30.  ],90.0,10.0,0.05
